MinZ Compilation Results - Mon 28 Jul 2025 12:22:37 IST
=====================================

Compiling examples...

❌ abi_hardware_drivers
✅ abi_rom_integration
✅ abi_test_with_main
❌ arithmetic_16bit
✅ arithmetic_demo
✅ arrays
✅ asm_integration_tests
✅ basic_functions
❌ bit_fields
✅ bit_manipulation
✅ const_only
✅ control_flow
❌ data_structures
❌ editor_demo
✅ editor_standalone
✅ enums
✅ fibonacci_tail
✅ fibonacci
✅ field_assignment
❌ game_sprite
✅ global_variables
❌ hardware_ports
✅ implicit_returns
✅ inline_assembly
✅ interrupt_handlers
✅ iterators
❌ lookup_tables
✅ loops_indexed
❌ lua_assets
❌ lua_metaprogramming
❌ lua_sine_table
❌ main
❌ math_functions
❌ memory_operations
❌ metaprogramming
❌ mnist_complete
✅ mnist_simple
❌ nested_loops
❌ performance_tricks
❌ pointer_arithmetic
❌ real_world_asm_examples
❌ recursion_examples
✅ register_allocation
✅ register_test
✅ screen_color
❌ shadow_registers
✅ simple_abi_demo
✅ simple_abi_test
✅ simple_add
✅ simple_test
✅ simple_true_smc
❌ smc_optimization_simple
❌ smc_optimization
✅ smc_recursion
✅ stack_variables
❌ state_machines
❌ string_operations
❌ structs
✅ tail_recursive
✅ tail_sum
✅ test_16bit_smc
❌ test_abi_comparison
✅ test_abi
❌ test_all_features
❌ test_array_access
✅ test_asm_final
❌ test_asm
✅ test_assignment
❌ test_bit_field_access
❌ test_bit_field_proper
❌ test_cast
❌ test_const_simple_fix
✅ test_const
✅ test_imports
✅ test_loop_into
✅ test_loop_minimal
✅ test_loop_no_init
✅ test_loop_ref
❌ test_register_params
✅ test_registers
✅ test_smc_patching
✅ test_string_lengths
✅ test_strings
❌ test_struct
❌ test_true_smc_call
❌ true_smc_demo
✅ true_smc_test
✅ types_demo
❌ working_asm_integration
✅ working_demo
❌ zvdb_code_search
❌ zvdb_demo
✅ zvdb_minimal
❌ zvdb_optimized
❌ zvdb_paged
❌ zvdb_scorpion_optimized
=== COMPILATION STATISTICS ===
Total examples:     96
Successful:         51
Failed:             45
Success rate:       53.12%

=== FAILED EXAMPLES ===
❌ abi_hardware_drivers
❌ arithmetic_16bit
❌ bit_fields
❌ data_structures
❌ editor_demo
❌ game_sprite
❌ hardware_ports
❌ lookup_tables
❌ lua_assets
❌ lua_metaprogramming
❌ lua_sine_table
❌ main
❌ math_functions
❌ memory_operations
❌ metaprogramming
❌ mnist_complete
❌ nested_loops
❌ performance_tricks
❌ pointer_arithmetic
❌ real_world_asm_examples
❌ recursion_examples
❌ shadow_registers
❌ smc_optimization_simple
❌ smc_optimization
❌ state_machines
❌ string_operations
❌ structs
❌ test_abi_comparison
❌ test_all_features
❌ test_array_access
❌ test_asm
❌ test_bit_field_access
❌ test_bit_field_proper
❌ test_cast
❌ test_const_simple_fix
❌ test_register_params
❌ test_struct
❌ test_true_smc_call
❌ true_smc_demo
❌ working_asm_integration
❌ zvdb_code_search
❌ zvdb_demo
❌ zvdb_optimized
❌ zvdb_paged
❌ zvdb_scorpion_optimized
=== CATEGORY BREAKDOWN ===
Core Language Features:
  Total: 13
  Success: 9
@abi & Assembly Integration:
  Total: 6
  Success: 4
Optimizations & Advanced:
  Total: 14
  Success: 6
Applications & Demos:
  Total: 8
  Success: 2
