constant,length,tstates,sequence,status
2,1,4,RLA,FOUND
3,3,12,"LD B,A : ADC A,A : ADD A,B",FOUND
4,2,8,"ADC A,A : ADD A,A",FOUND
5,4,16,"LD B,A : ADC A,B : ADD A,A : ADD A,B",FOUND
6,4,16,"LD B,A : ADC A,B : ADD A,B : ADD A,A",FOUND
7,5,20,"LD B,A : ADC A,B : ADD A,A : RLCA : SBC A,B",FOUND
8,3,12,"RLA : ADD A,A : ADD A,A",FOUND
9,5,20,"LD B,A : ADC A,B : ADD A,A : ADD A,A : ADD A,B",FOUND
10,5,20,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,B",FOUND
11,6,24,"LD B,A : RLA : ADD A,B : ADD A,A : RLCA : SBC A,B",FOUND
12,5,20,"RLA : LD B,A : ADD A,B : ADD A,B : ADD A,A",FOUND
13,6,24,"LD B,A : RLA : ADD A,B : ADD A,A : ADD A,A : ADD A,B",FOUND
14,6,24,"RLA : LD B,A : ADD A,A : ADD A,A : RLCA : SBC A,B",FOUND
15,6,24,"LD B,A : RLA : ADD A,A : ADD A,A : RLCA : SBC A,B",FOUND
16,4,16,"RLA : ADD A,A : ADD A,A : ADD A,A",FOUND
17,6,24,"LD B,A : RLA : ADD A,A : ADD A,A : ADD A,A : ADD A,B",FOUND
18,6,24,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,A : ADD A,B",FOUND
19,7,28,"LD B,A : RLA : ADD A,A : ADD A,B : ADD A,A : RLCA : SBC A,B",FOUND
20,6,24,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,B : ADD A,A",FOUND
21,7,28,"LD B,A : RLA : ADD A,A : ADD A,B : ADD A,A : ADD A,A : ADD A,B",FOUND
22,7,28,"RLA : LD B,A : ADD A,B : ADD A,B : ADD A,A : RLCA : SBC A,B",FOUND
23,7,28,"LD B,A : RLA : ADD A,B : ADD A,A : ADD A,A : RLCA : SBC A,B",FOUND
24,6,24,"RLA : LD B,A : ADD A,B : ADD A,B : ADD A,A : ADD A,A",FOUND
25,7,28,"LD B,A : RLA : ADD A,B : ADD A,A : ADD A,A : ADD A,A : ADD A,B",FOUND
26,7,28,"RLA : LD B,A : ADD A,B : ADD A,B : ADD A,A : ADD A,A : ADD A,B",FOUND
27,8,32,"LD B,A : RLA : ADD A,B : LD B,A : ADD A,B : ADD A,A : ADD A,A : ADD A,B",FOUND
28,7,28,"RLA : LD B,A : ADD A,B : ADD A,A : RLCA : SBC A,B : ADD A,A",FOUND
29,8,32,"LD B,A : RLA : ADD A,B : ADD A,A : ADD A,B : ADD A,A : ADD A,A : ADD A,B",FOUND
30,7,28,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,A : RLCA : SBC A,B",FOUND
31,7,28,"LD B,A : RLA : ADD A,A : ADD A,A : ADD A,A : RLCA : SBC A,B",FOUND
32,5,20,"RLA : ADD A,A : ADD A,A : ADD A,A : ADD A,A",FOUND
33,7,28,"LD B,A : RLA : ADD A,A : ADD A,A : ADD A,A : ADD A,A : ADD A,B",FOUND
34,7,28,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,A : ADD A,A : ADD A,B",FOUND
35,8,32,"LD B,A : RLA : ADD A,A : ADD A,A : ADD A,B : ADD A,A : RLCA : SBC A,B",FOUND
36,7,28,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,A : ADD A,B : ADD A,A",FOUND
37,8,32,"LD B,A : RLA : ADD A,A : ADD A,A : ADD A,B : ADD A,A : ADD A,A : ADD A,B",FOUND
38,8,32,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,B : ADD A,A : RLCA : SBC A,B",FOUND
39,8,32,"LD B,A : RLA : ADD A,A : ADD A,B : ADD A,A : ADD A,A : RLCA : SBC A,B",FOUND
40,7,28,"RLA : LD B,A : ADD A,A : ADD A,A : ADD A,B : ADD A,A : ADD A,A",FOUND
41,8,32,"LD B,A : RLA : ADD A,A : ADD A,B : ADD A,A : ADD A,A : ADD A,A : ADD A,B",FOUND
42,8,32,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,B : ADD A,A : ADD A,A : ADD A,B",FOUND
44,8,32,"RLA : LD B,A : ADD A,B : ADD A,B : ADD A,A : RLCA : SBC A,B : ADD A,A",FOUND
46,8,32,"RLA : LD B,A : ADD A,B : ADD A,B : ADD A,A : ADD A,A : RLCA : SBC A,B",FOUND
47,8,32,"LD B,A : RLA : ADD A,B : ADD A,A : ADD A,A : ADD A,A : RLCA : SBC A,B",FOUND
48,7,28,"RLA : LD B,A : ADD A,B : ADD A,B : ADD A,A : ADD A,A : ADD A,A",FOUND
49,8,32,"LD B,A : RLA : ADD A,B : ADD A,A : ADD A,A : ADD A,A : ADD A,A : ADD A,B",FOUND
50,8,32,"RLA : LD B,A : ADD A,B : ADD A,B : ADD A,A : ADD A,A : ADD A,A : ADD A,B",FOUND
52,8,32,"RLA : LD B,A : ADD A,B : ADD A,B : ADD A,A : ADD A,A : ADD A,B : ADD A,A",FOUND
56,8,32,"RLA : LD B,A : ADD A,B : ADD A,B : ADD A,A : ADD A,B : ADD A,A : ADD A,A",FOUND
60,8,32,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,A : RLCA : SBC A,B : ADD A,A",FOUND
62,8,32,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,A : ADD A,A : RLCA : SBC A,B",FOUND
63,8,32,"LD B,A : RLA : ADD A,A : ADD A,A : ADD A,A : ADD A,A : ADD A,A : SUB B",FOUND
64,6,24,"RLA : ADD A,A : ADD A,A : ADD A,A : ADD A,A : ADD A,A",FOUND
65,8,32,"LD B,A : RLA : ADD A,A : ADD A,A : ADD A,A : ADD A,A : ADD A,A : ADD A,B",FOUND
66,8,32,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,A : ADD A,A : ADD A,A : ADD A,B",FOUND
68,8,32,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,A : ADD A,A : ADD A,B : ADD A,A",FOUND
72,8,32,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,A : ADD A,B : ADD A,A : ADD A,A",FOUND
80,8,32,"RLA : LD B,A : ADD A,B : ADD A,A : ADD A,B : ADD A,A : ADD A,A : ADD A,A",FOUND
96,8,32,"RLA : LD B,A : ADD A,B : ADD A,B : ADD A,A : ADD A,A : ADD A,A : ADD A,A",FOUND
125,8,36,"LD B,A : RRCA : SBC A,A : NEG : RRA : SUB B : SUB B : SUB B",FOUND
126,7,32,"RRCA : ADD A,A : LD B,A : SBC A,A : SRL A : SBC A,B : SUB B",FOUND
127,6,28,"RRCA : LD B,A : RLCA : NEG : RRA : SUB B",FOUND
128,4,16,"RRCA : SBC A,A : ADC A,B : RRA",FOUND
129,5,20,"RRA : LD B,A : ADC A,B : RRCA : ADC A,B",FOUND
130,6,28,"LD B,A : RRCA : SBC A,A : SRL A : ADC A,B : ADD A,B",FOUND
131,7,32,"LD B,A : RRCA : SBC A,A : SRL A : ADC A,B : ADD A,B : ADD A,B",FOUND
132,8,36,"RLA : LD B,A : RRCA : RRCA : SBC A,A : SRL A : ADC A,B : ADD A,B",FOUND
1,-1,-1,,NOT_FOUND_AT_8
43,-1,-1,,NOT_FOUND_AT_8
45,-1,-1,,NOT_FOUND_AT_8
51,-1,-1,,NOT_FOUND_AT_8
53,-1,-1,,NOT_FOUND_AT_8
54,-1,-1,,NOT_FOUND_AT_8
55,-1,-1,,NOT_FOUND_AT_8
57,-1,-1,,NOT_FOUND_AT_8
58,-1,-1,,NOT_FOUND_AT_8
59,-1,-1,,NOT_FOUND_AT_8
61,-1,-1,,NOT_FOUND_AT_8
67,-1,-1,,NOT_FOUND_AT_8
69,-1,-1,,NOT_FOUND_AT_8
70,-1,-1,,NOT_FOUND_AT_8
71,-1,-1,,NOT_FOUND_AT_8
73,-1,-1,,NOT_FOUND_AT_8
74,-1,-1,,NOT_FOUND_AT_8
75,-1,-1,,NOT_FOUND_AT_8
76,-1,-1,,NOT_FOUND_AT_8
77,-1,-1,,NOT_FOUND_AT_8
78,-1,-1,,NOT_FOUND_AT_8
79,-1,-1,,NOT_FOUND_AT_8
81,-1,-1,,NOT_FOUND_AT_8
82,-1,-1,,NOT_FOUND_AT_8
83,-1,-1,,NOT_FOUND_AT_8
84,-1,-1,,NOT_FOUND_AT_8
85,-1,-1,,NOT_FOUND_AT_8
86,-1,-1,,NOT_FOUND_AT_8
87,-1,-1,,NOT_FOUND_AT_8
88,-1,-1,,NOT_FOUND_AT_8
89,-1,-1,,NOT_FOUND_AT_8
90,-1,-1,,NOT_FOUND_AT_8
91,-1,-1,,NOT_FOUND_AT_8
92,-1,-1,,NOT_FOUND_AT_8
93,-1,-1,,NOT_FOUND_AT_8
94,-1,-1,,NOT_FOUND_AT_8
95,-1,-1,,NOT_FOUND_AT_8
97,-1,-1,,NOT_FOUND_AT_8
98,-1,-1,,NOT_FOUND_AT_8
99,-1,-1,,NOT_FOUND_AT_8
100,-1,-1,,NOT_FOUND_AT_8
101,-1,-1,,NOT_FOUND_AT_8
102,-1,-1,,NOT_FOUND_AT_8
103,-1,-1,,NOT_FOUND_AT_8
104,-1,-1,,NOT_FOUND_AT_8
105,-1,-1,,NOT_FOUND_AT_8
106,-1,-1,,NOT_FOUND_AT_8
107,-1,-1,,NOT_FOUND_AT_8
108,-1,-1,,NOT_FOUND_AT_8
109,-1,-1,,NOT_FOUND_AT_8
110,-1,-1,,NOT_FOUND_AT_8
